first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.0417,0.417,1.2699115044247788,0.11171527434503213,0.3441247002398082,3.0803728698457165,0.583,1,0.8892972954654164,0.7892972954654163,0.5,0.0,20000,1937,18063,1937,18063,1797,3664,14313,226,1733,3728,1733,3728,1124,18876,1124,18876,5461,2686,2775,0,0,14539,547,1264,3589,61,5461,920,4541,0,0,0,0,547,1264,17902,287,0.31924554429225105,0.9846552677232402,578.1536807132667,1232.8463192867334,17909.894664618016,279.10533538198416,0.5713704919523745,0.92245,0.30204307012700166,0.6558752997601919
0.1,0.0378,0.378,1.2654028436018958,0.10613682092555332,0.3531746031746032,3.3275408109531335,0.622,1,0.8892972954654164,0.7892972954654163,0.7,0.0,20000,1937,18063,1937,18063,1777,3660,14352,211,1700,3737,1700,3737,744,19256,744,19256,5437,3805,1632,0,0,14563,489,1006,3886,56,5437,507,4930,0,0,0,0,489,1006,18238,267,0.31924554429225105,0.9846552677232402,477.27208871691533,1017.7279112830847,18221.04572921856,283.95427078144024,0.6193868202508223,0.93635,0.32709030100334446,0.6468253968253969
0.1,0.0346,0.346,1.2592592592592593,0.12391636919938807,0.4421965317919075,3.5685078141725537,0.654,1,0.8892972954654164,0.7892972954654163,0.9,0.0,20000,1937,18063,1937,18063,1718,3766,14273,243,1731,3753,1731,3753,375,19625,375,19625,5484,4941,543,0,0,14516,386,890,4145,63,5484,169,5315,0,0,0,0,386,890,18418,306,0.31924554429225105,0.9846552677232402,407.3573145169123,868.6426854830877,18436.685232849948,287.31476715005067,0.6526639591665184,0.9402,0.30250783699059564,0.5578034682080925
0.1,0.03255,0.3255,1.32,0.10706638115631692,0.4055299539170507,3.7876497695852533,0.6745,1,0.8892972954654164,0.7892972954654163,1,0.0,20000,1937,18063,1937,18063,1668,3692,14440,200,1715,3645,1715,3645,222,19778,222,19778,5360,5360,0,0,0,14640,387,762,4147,64,5360,0,5360,0,0,0,0,387,762,18587,264,0.31924554429225105,0.9846552677232402,366.81313039179645,782.1868696082036,18561.7364518508,289.26354814919915,0.6719616607295023,0.9487,0.3368146214099217,0.5944700460829493
0.1,0.0322,0.32199999999999995,err,0.0,0.0,err,0.678,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,2057,1702,16241,0,1937,1822,1937,1822,963,19037,963,19037,3759,1943,1816,0,0,16241,644,599,2516,0,3759,963,2796,0,0,0,0,644,599,18757,0,0.5263157894736842,1.0,654.2105263157895,588.7894736842105,18757.0,0.0,0.6728947368421052,0.97005,0.5181013676588898,1.0
0.1,0.0249,0.24899999999999997,err,0.0,0.0,err,0.751,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,2037,1772,16191,0,1937,1872,1937,1872,610,19390,610,19390,3809,2638,1171,0,0,16191,498,450,2861,0,3809,610,3199,0,0,0,0,498,450,19052,0,0.5263157894736842,1.0,498.9473684210526,449.0526315789474,19052.0,0.0,0.7505263157894737,0.9775,0.5253164556962026,1.0
0.1,0.0143,0.143,err,0.0,0.0,err,0.857,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1917,1816,16267,0,1937,1796,1937,1796,189,19811,189,19811,3733,3355,378,0,0,16267,286,262,3185,0,3733,189,3544,0,0,0,0,286,262,19452,0,0.5263157894736842,1.0,288.42105263157896,259.57894736842104,19452.0,0.0,0.8557894736842105,0.9869,0.5218978102189781,1.0
0.1,0.0097,0.097,err,0.0,0.0,err,0.903,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1972,1781,16247,0,1937,1816,1937,1816,0,20000,0,20000,3753,3753,0,0,0,16247,194,190,3369,0,3753,0,3753,0,0,0,0,194,190,19616,0,0.5263157894736842,1.0,202.10526315789474,181.89473684210526,19616.0,0.0,0.8989473684210526,0.9905,0.5052083333333334,1.0
0.1,0.0319,0.31899999999999995,err,0.0,0.0,err,0.681,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,2016,1746,16238,0,1937,1825,1937,1825,939,19061,939,19061,3762,1891,1871,0,0,16238,638,580,2544,0,3762,939,2823,0,0,0,0,638,580,18782,0,0.5263157894736842,1.0,641.0526315789473,576.9473684210527,18782.0,0.0,0.6794736842105263,0.971,0.5238095238095238,1.0
0.1,0.02325,0.23249999999999998,err,0.0,0.0,err,0.7675000000000001,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,2018,1789,16193,0,1937,1870,1937,1870,574,19426,574,19426,3807,2673,1134,0,0,16193,465,425,2917,0,3807,574,3233,0,0,0,0,465,425,19110,0,0.5263157894736842,1.0,468.4210526315789,421.5789473684211,19110.0,0.0,0.7657894736842106,0.97875,0.5224719101123596,1.0
